asv	plaqueX.llerch96.cb17A4	SG.CG15A2	SG.CG15A3	SG.CG15S1	SG.CG15S2	vmCB14A0	vmCB14S0	vmCB17S0	vmCB17S3	vmCB26A0	vmCB26S0	vmCB26S1	vmCB26S2	vmCB26S4	vmCB30A11	vmCB30S0	vmCB30S1	vmCC15S0	vmCC27S0	vmCC27S1	vmCG15A3	vmCG25S0	vmCG25S5	vmCP12S2	vmCP17S6	vmCP26A3	vmCP26S0	XlerchA10	XlerchA11	XlerchA12	XlerchB10	XlerchB11	XlerchB12	XlerchC10	XlerchC11	XlerchC12	XlerchD11	XlerchD12	XlerchE10	XlerchE11	XlerchE12	XlerchF10	XlerchF11	XlerchF12	XlerchG10	XlerchG11	XlerchG12	XlerchG9	XlerchH10	XlerchH11	XlerchH12	XlerchH9
ASV_00001	0	3	0	4228	130	0	0	153	65	38	1413	2534	0	666	0	31	0	213	2537	1653	0	137	0	0	0	0	7180	130	130	0	1309	0	0	222	0	0	0	0	0	0	0	7496	0	323	0	0	0	28	0	0	0	0
ASV_00002	256	471	1888	1949	1329	700	491	153	192	280	1738	3352	316	1467	482	208	0	842	40	33	622	134	96	104	0	10	134	0	0	3427	33	0	33	1791	27	35	0	89	420	0	0	919	900	1278	714	212	0	1486	12	0	195	0
ASV_00003	0	0	0	0	0	0	0	0	0	20	0	0	7384	0	7739	0	0	0	5	0	7803	0	0	0	0	96	15	0	264	89	0	0	0	0	3610	0	0	0	0	0	0	0	0	0	6	0	0	161	338	0	0	100
ASV_00004	0	9378	201	440	55	3234	118	0	0	604	44	114	12	56	23	0	0	18	0	0	49	39	0	0	0	5	0	0	0	222	0	0	0	5533	0	0	0	0	0	0	0	0	4485	0	0	0	0	0	0	997	0	0
ASV_00005	724	734	733	1022	1869	231	189	130	37	71	721	1493	89	220	113	542	1292	1002	371	202	161	192	461	335	0	250	962	482	0	0	1550	57	0	680	0	0	285	0	695	0	0	1564	364	1072	0	497	0	121	296	0	1932	0
ASV_00006	24	0	0	0	0	42	10	2128	714	52	223	262	72	431	79	561	960	77	229	138	71	111	830	27	282	72	61	5	422	1035	113	377	76	10	124	75	496	28	2104	1861	46	7	13	64	0	4402	26	131	8	68	30	744
ASV_00007	139	496	246	98	385	169	57	100	277	1214	344	584	526	166	587	1177	106	270	170	126	585	143	118	202	36	119	157	312	429	1783	78	58	74	108	126	88	97	303	2206	889	59	101	227	219	71	0	49	1172	297	1918	119	0
ASV_00008	0	18	11	52	9	11	0	5489	1519	54	228	365	22	92	22	410	914	24	247	402	29	324	601	78	196	34	415	4	413	0	23	1484	23	0	100	11	140	12	1048	571	26	10	0	0	0	1394	18	53	11	50	18	173
ASV_00009	325	164	216	1505	1474	60	92	140	116	32	348	820	0	257	0	481	132	196	179	209	0	449	63	674	15	50	456	79	0	255	331	0	36	667	137	0	711	0	406	170	0	2273	52	163	0	0	7	162	86	0	437	0
ASV_00010	0	81	0	848	749	3	10	0	6	3	183	174	0	103	0	0	0	133	1984	1761	0	876	151	0	0	3	3750	53	50	0	1554	73	0	35	0	0	0	0	0	0	0	496	0	110	0	0	0	0	0	0	0	0
ASV_00011	148	0	176	58	241	74	58	0	0	0	0	135	0	0	30	84	375	122	0	0	32	0	0	134	784	60	84	0	0	0	252	415	934	104	0	435	65	896	0	0	426	0	71	304	664	0	1655	0	0	51	3484	0
ASV_00012	243	530	497	496	283	506	477	250	0	25	0	122	35	135	71	352	501	65	0	0	98	50	0	227	0	91	200	61	32	135	362	54	0	602	52	0	0	0	444	0	0	1247	639	110	0	0	0	9	13	0	552	2544
ASV_00013	117	23	120	8	33	72	65	380	166	426	645	945	384	482	420	528	173	155	133	88	414	148	26	216	364	103	181	163	48	440	60	0	314	36	510	135	148	123	0	0	268	34	101	72	419	44	104	216	177	567	206	0
ASV_00014	99	51	1590	1631	290	0	0	125	114	0	0	237	188	229	305	143	230	0	0	0	460	0	71	943	0	41	310	0	0	282	101	61	0	591	83	0	631	0	43	73	5	517	0	0	0	0	0	56	163	0	962	0
ASV_00015	145	78	29	214	329	91	117	149	308	44	356	882	125	269	140	377	0	71	205	158	162	40	79	57	177	51	166	53	0	354	731	117	96	167	229	206	1722	96	137	119	22	58	134	115	69	0	150	550	129	0	459	0
ASV_00016	189	100	1445	1671	540	0	0	6	168	0	114	258	123	80	236	585	908	0	0	0	385	1	211	466	0	0	40	0	0	0	46	68	0	718	0	0	1424	0	0	0	0	410	0	0	0	0	0	0	0	0	22	0
