asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_00001	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00002	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00003	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	NA
ASV_00004	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00005	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00006	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	metallidurans
ASV_00007	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00008	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	NA
ASV_00009	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00010	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00011	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00013	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	NA
ASV_00014	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00015	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00016	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00017	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	NA
ASV_00018	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00019	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	NA
ASV_00020	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
ASV_00021	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00022	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_00023	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Parasedimentitalea	NA
ASV_00024	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00025	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00026	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	NA
ASV_00027	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00028	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00029	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00030	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00031	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00032	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00033	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00034	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00035	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	NA	NA
ASV_00036	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00037	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_00038	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Litoreibacter	NA
ASV_00039	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	NA
ASV_00040	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	NA	NA
ASV_00041	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Thermopetrobacteraceae	Thermopetrobacter	NA
ASV_00042	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV_00043	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	NA	NA
ASV_00044	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Caloranaerobacteraceae	Caloranaerobacter	NA
ASV_00045	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingorhabdus	NA
ASV_00046	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	NA
ASV_00047	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV_00048	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes
ASV_00049	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00050	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	NA
ASV_00051	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00052	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Jannaschia	NA
ASV_00053	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
